objectid,filename,youtubeid,vimeoid,title,director,writer,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,link
Film_001,,vNeOmezcMIU,,"Apat Dapat, Dapat Apat",Wenn V. Deramas,Mel Mendoza-Del Rosario; Arlene Tamayo,2007-10-10,"When their friend is beaten to death by her employer, three friends working in a foreign land fear her husband's response.",Movie,Philippines,12.8797° N,121.7740° E,Tristan Angeles Omalin,VG_0101,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=vNeOmezcMIU
Film_002,,3ZqX6oAHt6U,,Hating Kapatid,Wenn V. Deramas,Mel Mendoza-Del Rosario,2010-07-21,"Just when Rica, an overprotective older sister, thinks that her younger sibling, Cecil, will not be needing her help anymore, the latter falls in love with Edzel.",Movie,Philippines,12.8797° N,121.7740° E,VIVA Films,VG_0116,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=3ZqX6oAHt6U
Film_003,,GOFup0heqdA,,Petrang Kabayo,Wenn V. Deramas,Mel Mendoza-Del Rosario; Wenn V. Deramas,2010-10-13,"When a young man lets his temper get out of control, Diobayo, the goddess of horses, puts a curse on him to teach him a lesson.",Movie,Philippines,12.8797° N,121.7740° E,VIVA Films,VG_0107,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=GOFup0heqdA
Film_004,,E4LPAVFjaiQ,,Praybeyt Benjamin,Wenn V. Deramas,Wenn V. Deramas ; Keiko Aquino ; Danno Kristoper C. Mariquit,2011-10-26,"When civil war breaks out in the Philippines, a gay dance teacher (Vice Ganda) is forced to join the military in order to spare his ailing father.",Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0102,Video,video/mp4,Fil ,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=E4LPAVFjaiQ
Film_005,,UlCU7usZBcQ,,This Guy's in Love with U Mare!,Wenn V. Deramas,Mel Mendoza-Del Rosario; Keiko Aquino,2012-10-10,Lester catches his ex-boyfriend proposing marriage to Gemma. He hatches a plan to keep Gemma away from his ex by making her fall in love with him.,Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0114,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://youtube.com/watch?v=UlCU7usZBcQ
Film_006,,wkHta42fchc,,Sisterakas,Wenn V. Deramas,Wenn V. Deramas; Kriz Gazmen; Danno Kristoper C. Mariquit; Joel Mercado,2012-12-25,"Bernardo hires his half-sister Bernadette as an assistant, but she has no idea who he really is. Bernardo plans to make her life hell until a rival tries to lure Bernadette away, and he has to fight to keep her.",Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0106,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=wkHta42fchc
Film_007,,ppiDOfbsFvU,,Vice Ganda performs acrobatics on 'It's Showtime',Bobet Vidanes,,2013-10-24,"Not to be outdone by his fellow ""It's Showtime"" co-hosts, Vice Ganda performed acrobatics on Thursday for ""Magpasikat Week,"" the week-long talent showdown that marks the noontime program's fourth anniversary.",Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN News,VG_0123,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=ppiDOfbsFvU
Film_008,,5ydIYcL1NYk,,"Girl, Boy, Bakla, Tomboy",Wenn V. Deramas,Mel Mendoza-Del Rosario,2013-12-25,Quadruplets are split into pairs and raised apart by their parents. They meet as adults by accident and have a tough choice to make when one needs a liver transplant.,Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0104,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=5ydIYcL1NYk
Film_009,,wgO8P6RhGJE,,IT'S SHOWTIME 5th Anniversary: Vice & Ryan Performance,Bobet Vidanes,,2014-10-23,"Vice Ganda and Ryan Bang deliver a heart-touching song number for their Magpasikat performance, which the comedian composed himself.  ",Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN Entertainment,VG_0122,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=wgO8P6RhGJE
Film_010,,EDok6dYygl8,,The Amazing Praybeyt Benjamin,Wenn V. Deramas,Keiko A. Aquino; Danno Kristoper C. Mariquit; Wenn V. Deramas,2014-12-25,"After defeating terrorists, Pvt. Benjamin becomes the Philippines' worldwide sensation, but the attention causes him to neglect his duties and, to remain enlisted, he must become a bodyguard for a misbehaving kid.",Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0111,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=EDok6dYygl8
Film_011,,LgAnQQWVbn8,,"Magpasikat 2015: Vice, Jugs and Teddy Performance",Bobet Vidanes,,2015-10-21,"Mind-boggling performance of Vice, Jugs and Teddy featuring James Reid, Nadine Lustre, Coco Martin and Direk Wenn Deramas.",Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN Entertainment,VG_0125,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=LgAnQQWVbn8
Film_012,,9Oa53aUeqbA,,Beauty and the Bestie,Wenn V. Deramas,Mel Mendoza-Del Rosario,2015-12-25,Undercover agent Emman asks his former best friend Erika to take the place of an abducted beauty pageant contestant while he and his agency hunt for the kidnapping victim.,Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0105,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=9Oa53aUeqbA
Film_013,,0VPt-qCbD7Y,,The Super Parental Guardians,Joyce Bernal,Danno Kristoper C. Mariquit; Alpha Habon; Rod Marmo,2016-11-30,"After his best friend's death, Arci takes charge of her two boisterous children with help from their gang-affiliated uncle.",Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0108,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=0VPt-qCbD7Y
Film_014,,kGp9uwibuS8,,15 funniest 'Qiqil' rants of Vice Ganda about life's petty problems ,Bobet Vidanes,,2017-11-03,,Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN Entertainment,VG_0118,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=kGp9uwibuS8
Film_015,,s2penak-O88,,Gandarrapiddo! The Revenger Squad,Joyce Bernal,Danno Kristoper C. Mariquit; Daisy G. Cayanan; Jonathan James A. Albano,2017-12-25,"Three friends try to attain and protect what is most precious to them. Family is the only thing that binds them, but as they stick to their separate missions, dark secrets arise and threaten to destroy everything they hold dear.",Movie,Philippines,12.8797° N,121.7740° E,"ABS-CBN Star Cinema",VG_0113,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=s2penak-O88
Film_016,,irFcLyxOl_s,,15 wittiest and funniest contestants of Miss Q & A Intertalaktic 2019 - Week 1,Bobet Vidanes,,2018-08-30,,Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN Entertainment,VG_0120,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=irFcLyxOl_s
Film_017,,jDZHYShc11g,,"Magpasikat 2018: ""The Greatest"" performance of Team Vice Ganda and Amy",Bobet Vidanes,,2018-10-16,"Team Vice Ganda and Tyang Amy Perez touches the madlang people’s hearts with their colorful and inspiring Magpasikat 2018 performance.
",Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN Entertainment,VG_0124,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=jDZHYShc11g
Film_018,,0A2AxQmShys,,20 funniest Vice Ganda 'gigil' moments that made us LOL in It's Showtime,Bobet Vidanes,,2018-10-23,Watch the 20 funniest 'gigil moments' of Vice Ganda that made us laugh out loud in It's Showtime.,Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN Entertainment,VG_0117,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=0A2AxQmShys
Film_019,,1Sz_0-akbMM,,Tawag ng Tanghalan: Vice Ganda expresses his emotions through singing,Bobet Vidanes,,2018-10-24,Vice Ganda expresses his emotions through singing different songs.,Youtube Video,Philippines,12.8797° N,121.7740° E,ABS-CBN Entertainment,VG_0119,Video,video/mp4,Fil,"This Rights Statement can be used for an Item that is in copyright. Using this statement implies that the organization making this Item available has determined that the Item is in copyright and either is the rights-holder, has obtained permission from the rights-holder(s) to make their Work(s) available, or makes the Item available under an exception or limitation to copyright (including Fair Use) that entitles it to make the Item available.

URI: http://rightsstatements.org/vocab/InC/1.0/
",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://www.youtube.com/watch?v=1Sz_0-akbMM
